Trade_ID,Symbol,Mode,Signal_Date,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Shares,Deploy_₹,Stop_Loss,Target,Trailing_Stop,Exit_Reason,P&L_₹,P&L_%,Outcome,Portfolio_Value_After
467,KARURVYSYA,swing,2024-10-17,2024-10-17,2024-11-29,177.58,199.74,38,6748.040000000001,168.72,199.74,165.76,TARGET,842.08,12.48,WIN,113318.2830273437
468,CONCORDBIO,swing,2024-11-22,2024-11-22,2024-12-02,1994.56,2179.23,3,5983.68,1871.45,2302.34,1830.41,PROFIT_BOOKING_1,554.01,9.26,PARTIAL_WIN,106954.4730273437
469,KALYANKJIL,swing,2024-11-21,2024-11-21,2024-12-10,709.67,778.88,9,6387.03,663.54,825.02,648.16,PROFIT_BOOKING_1,622.89,9.75,PARTIAL_WIN,113964.3930273437
470,MUTHOOTFIN,swing,2024-11-27,2024-11-27,2024-12-11,1900.87,2017.58,3,5702.61,1823.06,2095.4,1797.12,PROFIT_BOOKING_1,350.13,6.14,PARTIAL_WIN,120017.1330273437
471,COROMANDEL,swing,2024-11-06,2024-11-06,2024-12-17,1705.68,1822.19,3,5117.04,1628.01,1899.87,1602.12,PROFIT_BOOKING_1,349.53,6.83,PARTIAL_WIN,125483.7030273437
472,MUTHOOTFIN,swing,2024-11-27,2024-11-27,2024-12-19,1900.87,2095.4,4,7603.48,1823.06,2095.4,1797.12,TARGET,778.12,10.23,WIN,133865.3030273437
473,GICRE,swing,2024-12-20,2024-12-20,2024-12-23,487.55,459.11,27,13163.85,459.11,558.66,449.63,SL,-767.88,-5.83,LOSS,133097.4230273437
474,CONCORDBIO,swing,2024-11-22,2024-11-22,2024-12-31,1994.56,2302.34,3,5983.68,1871.45,2302.34,1830.41,TARGET,923.34,15.43,WIN,140004.4430273437
475,COROMANDEL,swing,2024-11-06,2024-11-06,2025-01-01,1705.68,1899.87,4,6822.72,1628.01,1899.87,1602.12,TARGET,776.76,11.38,WIN,147603.9230273437
476,ICICIBANK,swing,2024-11-29,2024-11-29,2025-01-03,1290.15,1253.47,10,12901.5,1253.47,1381.83,1241.25,SL,-366.8,-2.84,LOSS,160138.6230273437
477,KALYANKJIL,swing,2024-11-21,2024-11-21,2025-01-08,709.67,663.54,10,7096.7,663.54,825.02,648.16,SL,-461.3,-6.5,LOSS,142177.8830273437
478,POLYMED,swing,2025-01-03,2025-01-03,2025-01-13,2770.44,2596.9,4,11081.76,2596.9,3204.27,2539.06,SL,-694.16,-6.26,LOSS,152565.4830273437
479,PATANJALI,swing,2025-01-06,2025-01-06,2025-01-13,614.29,587.36,22,13514.38,587.36,681.61,578.39,SL,-592.46,-4.38,LOSS,165487.4030273437
480,PATANJALI,swing,2025-01-14,2025-01-14,2025-01-27,604.07,577.16,22,13289.54,577.16,671.35,568.19,SL,-592.02,-4.45,LOSS,164895.3830273437
481,CUB,swing,2025-02-04,2025-02-04,2025-02-11,131.4,125.08,103,13534.2,125.08,147.19,122.98,SL,-650.96,-4.81,LOSS,125104.92302734368
482,RPOWER,swing,2025-02-06,2025-02-06,2025-02-11,42.39,39.25,320,13564.8,39.25,50.25,38.2,SL,-1004.8,-7.41,LOSS,137664.9230273437
483,SARDAEN,swing,2025-02-07,2025-02-07,2025-02-11,465.08,434.38,29,13487.32,434.38,541.84,424.14,SL,-890.3,-6.6,LOSS,150261.9430273437
484,DIVISLAB,swing,2025-02-04,2025-02-04,2025-02-14,6043.69,5730.62,2,12087.38,5730.62,6826.39,5626.26,SL,-626.14,-5.18,LOSS,161723.18302734368
485,SARDAEN,swing,2025-02-19,2025-02-19,2025-02-28,481.04,445.91,28,13469.12,445.91,568.87,434.2,SL,-983.64,-7.3,LOSS,160739.5430273437
486,PGEL,swing,2025-03-10,2025-03-10,2025-03-17,898.65,822.42,15,13479.75,822.42,1089.24,797.01,SL,-1143.45,-8.48,LOSS,146646.81302734368
487,MINDACORP,swing,2025-03-24,2025-03-24,2025-04-04,539.61,508.72,25,13490.25,508.72,616.84,498.42,SL,-772.25,-5.72,LOSS,133396.86302734367
488,WELCORP,swing,2025-03-11,2025-03-11,2025-04-07,809.33,750.09,16,12949.28,750.09,957.43,730.35,SL,-947.84,-7.32,LOSS,145398.30302734367
489,LLOYDSME,swing,2025-03-19,2025-03-19,2025-04-07,1247.77,1161.58,10,12477.7,1161.58,1463.24,1132.85,SL,-861.9,-6.91,LOSS,157014.10302734366
490,REDINGTON,swing,2025-04-23,2025-04-23,2025-05-12,227.9,254.96,29,6609.1,209.86,273.0,203.85,PROFIT_BOOKING_1,784.74,11.87,PARTIAL_WIN,150961.84302734365
491,REDINGTON,swing,2025-04-23,2025-04-23,2025-05-19,227.9,273.0,30,6837.0,209.86,273.0,203.85,TARGET,1353.0,19.79,WIN,159151.84302734365
492,REDINGTON,swing,2025-05-19,2025-05-19,2025-05-20,268.18,292.71,25,6704.5,251.83,309.07,246.37,PROFIT_BOOKING_1,613.25,9.15,PARTIAL_WIN,153060.59302734365
493,REDINGTON,swing,2025-05-19,2025-05-19,2025-05-27,268.18,251.83,25,6704.5,251.83,309.07,246.37,SL,-408.75,-6.1,LOSS,159356.34302734365
494,WELCORP,swing,2025-05-29,2025-05-29,2025-06-05,887.25,955.93,7,6210.75,841.46,1001.72,826.2,PROFIT_BOOKING_1,480.76,7.74,PARTIAL_WIN,139798.20302734367
495,MANAPPURAM,swing,2025-06-06,2025-06-06,2025-06-09,245.82,264.48,55,13520.1,238.35,264.48,235.86,TARGET,1026.3,7.59,WIN,140824.50302734366
496,PAYTM,swing,2025-06-02,2025-06-02,2025-06-12,924.35,877.14,14,12940.9,877.14,1042.37,861.4,SL,-660.94,-5.11,LOSS,115074.94302734366
497,MANAPPURAM,swing,2025-06-09,2025-06-09,2025-06-13,262.92,276.38,25,6573.0,253.94,285.35,250.95,PROFIT_BOOKING_1,336.5,5.12,PARTIAL_WIN,121984.44302734366
498,WOCKPHARMA,swing,2025-06-11,2025-06-11,2025-06-13,1831.1,1709.1,7,12817.699999999999,1709.1,2136.1,1668.43,SL,-854.0,-6.66,LOSS,133948.14302734367
499,COROMANDEL,swing,2025-06-11,2025-06-11,2025-06-27,2360.58,2229.65,5,11802.9,2229.65,2687.9,2186.0,SL,-654.65,-5.55,LOSS,118015.07302734366
500,COROMANDEL,swing,2025-06-27,2025-06-27,2025-07-02,2411.14,2262.66,5,12055.699999999999,2262.66,2782.33,2213.17,SL,-742.4,-6.16,LOSS,117272.67302734367
501,ASTERDM,swing,2025-06-17,2025-06-17,2025-07-03,564.43,638.19,24,13546.32,534.93,638.19,525.1,TARGET,1770.24,13.07,WIN,132589.23302734367
502,ASTERDM,swing,2025-07-03,2025-07-03,2025-07-07,646.14,612.75,21,13568.94,612.75,729.6,601.63,SL,-701.19,-5.17,LOSS,120943.50302734366
503,AMBER,swing,2025-07-10,2025-07-10,2025-07-11,7753.0,7402.06,1,7753.0,7402.06,8630.35,7285.08,SL,-350.94,-4.53,LOSS,120592.56302734365
504,CEATLTD,swing,2025-07-03,2025-07-03,2025-07-14,3648.18,3887.94,1,3648.18,3488.35,4047.77,3435.07,PROFIT_BOOKING_1,239.76,6.57,PARTIAL_WIN,124480.50302734366
505,KIMS,swing,2025-06-26,2025-06-26,2025-07-16,676.75,729.24,10,6767.5,641.76,764.24,630.09,PROFIT_BOOKING_1,524.9,7.76,PARTIAL_WIN,118608.15302734365
506,KIMS,swing,2025-06-26,2025-06-26,2025-07-18,676.75,764.24,10,6767.5,641.76,764.24,630.09,TARGET,874.9,12.93,WIN,126250.55302734365
507,CEATLTD,swing,2025-07-03,2025-07-03,2025-07-22,3648.18,3488.35,2,7296.36,3488.35,4047.77,3435.07,SL,-319.66,-4.38,LOSS,120335.36302734364
508,CAPLIPOINT,swing,2025-07-23,2025-07-23,2025-07-25,2102.11,2024.83,6,12612.66,2024.83,2295.3,1999.07,SL,-463.68,-3.68,LOSS,119871.68302734364
509,MANAPPURAM,swing,2025-06-09,2025-06-09,2025-07-30,262.92,253.94,26,6835.92,253.94,285.35,250.95,SL,-233.48,-3.42,LOSS,126474.12302734364
510,HEG,swing,2025-07-14,2025-07-14,2025-07-31,526.59,590.66,25,13164.75,500.96,590.66,492.41,TARGET,1601.75,12.17,WIN,141240.62302734365
511,KPRMILL,swing,2025-07-18,2025-07-18,2025-07-31,1171.99,1112.59,11,12891.89,1112.59,1320.48,1092.79,SL,-653.4,-5.07,LOSS,153479.11302734364
512,BANKINDIA,swing,2025-08-19,2025-08-19,2025-08-26,112.81,109.33,120,13537.2,109.33,121.48,108.18,SL,-417.6,-3.08,LOSS,126825.87302734364
513,WELCORP,swing,2025-05-29,2025-05-29,2025-08-28,887.25,871.306884765625,8,7098.0,841.46,1001.72,826.2,TIME_EXIT,-127.54,-1.8,LOSS,133796.32810546865
514,GODREJIND,swing,2025-08-18,2025-08-18,2025-09-02,1273.9,1208.95,10,12739.0,1208.95,1436.26,1187.31,SL,-649.5,-5.1,LOSS,133405.31810546864
515,MANAPPURAM,swing,2025-08-14,2025-08-14,2025-09-03,264.64,282.82,25,6616.0,252.52,294.94,248.48,PROFIT_BOOKING_1,454.5,6.87,PARTIAL_WIN,140475.81810546864
516,ERIS,swing,2025-08-28,2025-08-28,2025-09-08,1782.93,1691.51,7,12480.51,1691.51,2011.49,1661.03,SL,-639.94,-5.13,LOSS,152316.38810546865
517,MANAPPURAM,swing,2025-08-14,2025-08-14,2025-09-16,264.64,294.94,26,6880.639999999999,252.52,294.94,248.48,TARGET,787.8,11.45,WIN,106883.73810546866
518,GMRAIRPORT,swing,2025-09-16,2025-09-16,2025-09-24,92.84,89.93,146,13554.640000000001,89.93,100.1,88.97,SL,-424.86,-3.13,LOSS,106458.87810546866
519,IDBI,swing,2025-09-10,2025-09-10,2025-09-26,94.76,89.93,143,13550.68,89.93,106.83,88.33,SL,-690.69,-5.1,LOSS,105862.51810546865
520,AFFLE,swing,2025-09-09,2025-09-09,2025-09-29,2070.2,1985.11,6,12421.199999999999,1985.11,2282.93,1956.75,SL,-510.54,-4.11,LOSS,104365.01810546865
521,NAM-INDIA,swing,2025-09-26,2025-09-26,2025-10-06,838.01,883.46,8,6704.08,807.71,913.76,797.61,PROFIT_BOOKING_1,363.6,5.42,PARTIAL_WIN,97865.01810546865
522,SHYAMMETL,swing,2025-10-03,2025-10-03,2025-10-07,969.12,930.43,14,13567.68,930.43,1065.85,917.53,SL,-541.66,-3.99,LOSS,110891.03810546866
523,TATASTEEL,swing,2025-09-09,2025-09-09,2025-10-09,165.73,173.3,41,6794.929999999999,160.69,178.35,159.0,PROFIT_BOOKING_1,310.37,4.57,PARTIAL_WIN,117996.33810546866
524,NAM-INDIA,swing,2025-09-26,2025-09-26,2025-10-17,838.01,913.76,8,6704.08,807.71,913.76,797.61,TARGET,606.0,9.04,WIN,114871.99810546867
