Symbol,CMP,Score,Grade,Quality,Growth,Technical,Momentum,PE,Fwd_PE,ROE_%,Rev_Growth_%,EPS_Growth_%,Debt_Eq,Div_Yield_%,RSI,Target,Stop_Loss,Target_Low,Target_High,Profit_%,Risk_%,Target_%,Target_%_Low,Target_%_High,SL_%,RR_Ratio,Sector_Bucket,Sector_Label,Valuation_Methods_Used,Valuation_Method_Detail,ATR_Used,Structural_Low_20D,Real_Analyst_Target_Status,Real_Analyst_Target_Avg,Real_Analyst_Target_Low,Real_Analyst_Target_High,Real_Analyst_Num_Analysts,Target_Disclaimer,Reasons,Horizon,Quality_Score,Quality_Signals,Shares_To_Buy,Deploy_₹,Max_Risk_₹,%_of_Portfolio,Market_Regime,Is_Top_Pick
WAAREEENER,2680.2,57,BUY,20,15,7,11,20.24,15.76,,79.2,14.2,0.214,15.0,32.1,3299.33,2572.99,3216.24,3385.09,23.1,4.0,23.1,20.0,26.3,4.0,5.8,default,Renewables/Power,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +26.3%,53.6,2561.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","D/E 0.214 — fortress balance sheet (+15) | Dividend 15.0% — paid to hold | Revenue growth 79.2% — exceptional | Earnings accelerating (fwd PE 15.76 vs 20.24) | RSI 32 — oversold, contrarian entry",1-2 years,6,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,2.0,5951.0,238.0,4.4,RECOVERY,False
CUMMINSIND,5519.0,56,WATCH,15,19,8,4,64.94,46.4,29.45,21.9,22.7,0.431,1.2,50.6,6181.28,5315.0,5960.52,6622.8,12.0,3.7,12.0,8.0,20.0,3.7,3.2,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,110.38,5315.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 29.45% — excellent | D/E 0.431 — manageable | EPS growth 22.7% | Revenue growth 21.9% | Earnings accelerating (fwd PE 46.4 vs 64.94),1-2 years,7,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q6: ROE>15% ✅ | Q7: Margins expanding ✅,1.0,5446.0,201.0,4.0,RECOVERY,False
ULTRACEMCO,11903.0,56,BUY,20,9,11,12,40.82,27.55,,15.9,16.8,0.294,2.02,70.2,14045.54,11426.88,13188.52,14688.3,18.0,4.0,18.0,10.799999999999999,23.400000000000002,4.0,4.5,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,238.06,11062.2,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.294 — fortress balance sheet (+15) | Dividend 2.02% — paid to hold | Revenue growth 15.9% | Earnings accelerating (fwd PE 27.55 vs 40.82) | Above 50 & 200 DMA — uptrend,1-2 years,6,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅,0.0,5873.0,235.0,4.3,RECOVERY,False
HSCL,750.65,54,BUY,20,19,11,0,47.18,36.44,,28.0,24.7,0.162,11.0,66.0,885.77,720.62,831.72,926.3,18.0,4.0,18.0,10.799999999999999,23.400000000000002,4.0,4.5,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,15.01,635.85,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.162 — fortress balance sheet (+15) | Dividend 11.0% — paid to hold | EPS growth 24.7% | Revenue growth 28.0% | Earnings accelerating (fwd PE 36.44 vs 47.18),1-2 years,5,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q8: Dividend>2% ✅,8.0,5926.0,237.0,4.4,RECOVERY,False
SBILIFE,1882.0,52,WATCH,5,16,15,12,72.47,53.79,13.7,18.9,21.9,,14.0,55.6,2107.84,1806.72,2032.56,2258.4,12.0,4.0,12.0,8.0,20.0,4.0,3.0,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,37.64,1773.0,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",Dividend 14.0% — paid to hold | EPS growth 21.9% | Revenue growth 18.9% | Earnings accelerating (fwd PE 53.79 vs 72.47) | Above 50 DMA,1-2 years,6,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅,3.0,6036.0,241.0,4.4,RECOVERY,False
CANBK,124.98,51,WATCH,12,15,8,12,5.71,5.34,,-12.9,62.2,,3.36,39.1,168.72,120.5,149.98,187.47,35.0,3.58,35.0,20.0,50.0,3.58,9.8,psu_bank,Banking,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,2.5,120.5,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","PEG ~0.09 — undervalued vs growth | Dividend 3.36% — paid to hold | EPS growth 62.2% — explosive | RSI 39 — oversold, contrarian entry | Mid 52W range (43%)",1-2 years,5,Q2: EPS growing ✅ | Q5: P/B positive ✅ | Q7: Margins expanding ✅ | Q8: Dividend>2% ✅ | Q9: PEG<1.5 ✅,48.0,6012.0,216.0,4.4,RECOVERY,False
INDUSTOWER,391.1,51,WATCH,21,0,8,12,14.49,12.8,18.91,4.6,0.6,0.518,3.58,34.1,438.03,375.46,422.39,469.32,12.0,4.0,12.0,8.0,20.0,4.0,3.0,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,7.82,371.4,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","ROE 18.91% — good | D/E 0.518 — manageable | PE 14.49x — cheap | Dividend 3.58% — paid to hold | RSI 34 — oversold, contrarian entry",1-2 years,7,Q1: ROE>0 ✅ | Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q6: ROE>15% ✅ | Q8: Dividend>2% ✅,15.0,5982.0,239.0,4.4,RECOVERY,False
IOC,140.17,50,BUY,15,10,10,15,5.73,7.86,,38.5,,0.584,5.89,50.6,165.4,136.6,155.31,175.49,18.0,2.55,18.0,10.8,25.2,2.55,7.1,default,Diversified/Other,fallback,"Fallback (no usable PE/EPS/ROE data) — grade-based estimate, wide band",2.8,136.6,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.584 — manageable | PE 5.73x — cheap | Dividend 5.89% — paid to hold | Revenue growth 38.5% — exceptional | RSI 51 — ideal 1Y entry zone,1-2 years,4,Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q8: Dividend>2% ✅,43.0,6017.0,153.0,4.4,RECOVERY,False
BPCL,319.75,47,WATCH,15,7,10,15,7.97,8.0,,34.4,,0.543,6.25,63.8,358.12,306.96,345.33,373.47,12.0,4.0,12.0,8.0,16.8,4.0,3.0,psu_other,Energy/PSU,fallback,"Fallback (no usable PE/EPS/ROE data) — grade-based estimate, wide band",6.4,299.4,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.543 — manageable | PE 7.97x — cheap | Dividend 6.25% — paid to hold | Revenue growth 34.4% | Above 50 DMA,1-2 years,4,Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q8: Dividend>2% ✅,19.0,5995.0,240.0,4.4,RECOVERY,False
BEL,387.85,45,WATCH,15,12,7,11,46.06,34.23,,24.9,8.3,0.273,1.12,23.5,434.39,382.2,418.88,465.42,12.0,1.46,12.0,8.0,20.0,1.46,8.2,psu_other,Defense,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,7.76,382.2,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","D/E 0.273 — fortress balance sheet (+15) | Revenue growth 24.9% | Earnings accelerating (fwd PE 34.23 vs 46.06) | RSI 24 — oversold, contrarian entry | Near 52W low (25%) but below 20D SMA — possible value trap",1-2 years,4,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅,16.0,6028.0,88.0,4.4,RECOVERY,False
BAJAJ-AUTO,11520.5,45,WATCH,12,21,8,0,27.4,24.39,,64.0,45.8,0.564,1.3,76.1,15552.68,11059.68,13824.6,17280.75,35.0,4.0,35.0,20.0,50.0,4.0,8.8,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +50.0%,230.41,9785.5,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.564 — manageable | PEG ~0.6 — undervalued vs growth | EPS growth 45.8% — strong | Revenue growth 64.0% — exceptional | Above 50 & 200 DMA — uptrend,1-2 years,5,Q2: EPS growing ✅ | Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q9: PEG<1.5 ✅,0.0,5684.0,227.0,4.2,RECOVERY,False
HINDPETRO,389.75,42,WATCH,5,12,10,15,49.78,7.0,,26.9,,0.854,6.22,48.9,436.52,374.16,420.93,455.23,12.0,4.0,12.0,8.0,16.8,4.0,3.0,default,Diversified/Other,fallback,"Fallback (no usable PE/EPS/ROE data) — grade-based estimate, wide band",7.79,372.05,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",Dividend 6.22% — paid to hold | Revenue growth 26.9% | Earnings accelerating (fwd PE 7.0 vs 49.78) | RSI 49 — ideal 1Y entry zone | Near 52W low (38%) but below 20D SMA — possible value trap,1-2 years,4,Q3: Revenue growing ✅ | Q4: D/E<1.0 ✅ | Q5: P/B positive ✅ | Q8: Dividend>2% ✅,15.0,5961.0,238.0,4.4,RECOVERY,False
