Symbol,CMP,Score,Grade,Quality,Growth,Technical,Momentum,Sector_RS_Bonus,RS_Rank,Sector_Percentile,Market_Cap_Cr,PE,Fwd_PE,ROE_%,Rev_Growth_%,EPS_Growth_%,Debt_Eq,Div_Yield_%,RSI,Target,Stop_Loss,Target_Low,Target_High,Profit_%,Risk_%,Target_%,Target_%_Low,Target_%_High,SL_%,RR_Ratio,Sector_Bucket,Sector_Label,Valuation_Methods_Used,Valuation_Method_Detail,Real_Analyst_Target_Status,Real_Analyst_Target_Avg,Real_Analyst_Target_Low,Real_Analyst_Target_High,Real_Analyst_Num_Analysts,Target_Disclaimer,Reasons,Horizon,Shares_To_Buy,Deploy_₹,Max_Risk_₹,%_of_Portfolio,Regime_Multiplier_Applied,Sector_Leader_Bonus,Sector_Leader_Reasons,Confidence_%,Confidence_Factors,News_Status,News_Headlines,You_Hold,Held_Qty,Held_Avg,Unrealized_PnL_%,Additional_Shares_Room,Additional_Deploy_₹
BSE,3520.2,73,STRONG BUY,23,30,5,3,0,88.7,79.2,144448.0,57.47,36.56,36.0,105.1,64.0,0.0,29.0,26.6,3907.42,3318.549219492862,3696.21,4224.24,11.0,5.7,11.0,5.0,20.0,5.7,1.9,default,Capital Markets Infra,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 36.0% — excellent | D/E 0.0 — fortress balance sheet | Dividend 29.0% — paid to hold | EPS growth 64.0% — explosive | Revenue growth 105.1% — exceptional | Earnings accelerating (fwd PE 36.56 vs 57.47),1-2 years,1,3520.2,201.65,2.6,0.375,12,"Largest market cap in Capital Markets Infra, Top-3 RS in Capital Markets Infra, Highest ROE in Capital Markets Infra",81,Base: model score 73/100 from Quality+Growth+Technical+Momentum | PEG 0.90 — growth clearly outpaces price (+8),ok,"[29 Jul 2026, The Times of India] Why did stock market rise today? BSE Sensex rallies 1,000 points; Nifty50 crosses 24,250 - top reasons fo || [30 Jul 2026, livemint.com] Indo-MIM IPO listing date today. GMP, analysts signal share debut at a strong premium on BSE, NSE || [29 Jul 2026, Moneycontrol.com] Indo-MIM listing date: Shares to make market debut on BSE, NSE on July 30; GMP at 38%",No,,,,1,3520.2
JKTYRE,402.65,71,STRONG BUY,12,24,18,12,5,74.2,83.3,11576.0,14.7,10.02,14.05,12.4,53.8,80.551,100.0,47.7,483.18,379.83080095001645,483.18,483.18,20.0,5.7,20.0,20.0,20.0,5.7,3.5,default,Auto & Ancillaries,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.27 — undervalued vs growth | Dividend 100.0% — paid to hold | EPS growth 53.8% — explosive | Revenue growth 12.4% | Earnings accelerating (fwd PE 10.02 vs 14.7) | Above 50 DMA,1-2 years,12,4831.8,273.83,3.6,0.375,0,,71,Base: model score 71/100 from Quality+Growth+Technical+Momentum | PEG 0.27 — growth clearly outpaces price (+8) | D/E 80.551 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,12,4831.8
RBLBANK,371.4,71,STRONG BUY,12,30,16,4,5,90.5,87.5,57475.0,30.65,18.61,,40.8,367.9,,33.0,55.7,412.25,351.78193976782126,389.97,445.68,11.0,5.3,11.0,5.0,20.0,5.3,2.1,default,Banking,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.08 — undervalued vs growth | Dividend 33.0% — paid to hold | EPS growth 367.9% — explosive | Revenue growth 40.8% — exceptional | Earnings accelerating (fwd PE 18.61 vs 30.65) | Above 50 & 200 DMA — uptrend,1-2 years,13,4828.2,255.03,3.6,0.375,4,Top-3 RS in Banking,79,Base: model score 71/100 from Quality+Growth+Technical+Momentum | PEG 0.08 — growth clearly outpaces price (+8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,13,4828.2
HINDZINC,537.65,70,STRONG BUY,12,25,11,12,10,76.8,95.8,226773.0,13.28,12.22,,71.7,144.6,39.034,3.99,57.0,645.18,510.952879614805,645.18,645.18,20.0,5.0,20.0,20.0,20.0,5.0,4.0,default,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.09 — undervalued vs growth | Dividend 3.99% — paid to hold | EPS growth 144.6% — explosive | Revenue growth 71.7% — exceptional | RSI 57 — ideal 1Y entry zone | Mid 52W range (42%),1-2 years,9,4838.85,240.27,3.6,0.375,0,,70,Base: model score 70/100 from Quality+Growth+Technical+Momentum | PEG 0.09 — growth clearly outpaces price (+8) | D/E 39.034 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,9,4838.85
ASIANPAINT,2713.4,70,STRONG BUY,6,24,16,12,0,69.6,45.8,264432.0,60.61,46.9,20.89,10.6,69.2,17.847,1.01,55.8,3011.87,2597.4034519389065,2849.07,3256.08,11.0,4.3,11.0,5.0,20.0,4.3,2.6,default,Chemicals & Paints,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 20.89% — good | EPS growth 69.2% — explosive | Revenue growth 10.6% | Earnings accelerating (fwd PE 46.9 vs 60.61) | Above 50 & 200 DMA — uptrend | RSI 56 — ideal 1Y entry zone,1-2 years,1,2713.4,116.0,2.0,0.375,12,"Largest market cap in Chemicals & Paints, Top-3 RS in Chemicals & Paints, Highest ROE in Chemicals & Paints",70,Base: model score 70/100 from Quality+Growth+Technical+Momentum | PEG 0.88 — growth clearly outpaces price (+8) | D/E 17.847 — elevated leverage risk (-8),ok,"[29 Jul 2026, livemint.com] Q1 results 2026: Adani Enterprises to Asian Paints among companies to declare Q1 results today; full list here",No,,,,1,2713.4
GRANULES,848.7,70,STRONG BUY,12,27,13,4,10,96.5,91.7,20861.0,31.21,21.2,,22.0,53.4,29.735,21.0,35.0,942.06,798.2298163163263,891.14,1018.44,11.0,5.9,11.0,5.0,20.0,5.9,1.9,default,Pharma,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.58 — undervalued vs growth | Dividend 21.0% — paid to hold | EPS growth 53.4% — explosive | Revenue growth 22.0% | Earnings accelerating (fwd PE 21.2 vs 31.21) | Above 50 & 200 DMA — uptrend,1-2 years,6,5092.2,302.82,3.7,0.375,4,Top-3 RS in Pharma,70,Base: model score 70/100 from Quality+Growth+Technical+Momentum | PEG 0.58 — growth clearly outpaces price (+8) | D/E 29.735 — elevated leverage risk (-8),ok,"[21 Jul 2026, upstox.com] Granules India shares surge over 3% after net profit surges 59% in June quarter",No,,,,6,5092.2
SAIL,170.06,69,STRONG BUY,12,20,8,15,10,84.4,95.8,70615.0,16.02,10.61,,1.3,121.1,52.899,96.0,55.1,203.9,159.97503170090505,203.9,204.07,19.9,5.9,19.9,19.9,20.0,5.9,3.4,psu_other,Metals & Mining,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +19.9%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.13 — undervalued vs growth | Dividend 96.0% — paid to hold | EPS growth 121.1% — explosive | Earnings accelerating (fwd PE 10.61 vs 16.02) | RSI 55 — ideal 1Y entry zone | 6M return 8% — healthy,1-2 years,29,4931.74,292.46,3.6,0.375,4,Top-3 RS in Metals & Mining,69,Base: model score 69/100 from Quality+Growth+Technical+Momentum | PEG 0.13 — growth clearly outpaces price (+8) | D/E 52.899 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,29,4931.74
CHOLAFIN,1775.0,69,STRONG BUY,18,19,16,12,0,72.2,66.7,153970.0,25.91,18.36,19.33,24.8,29.0,695.283,8.0,45.7,1970.25,1670.2010931613,1863.75,2130.0,11.0,5.9,11.0,5.0,20.0,5.9,1.9,default,Diversified Financials,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 19.33% — good | PEG ~0.89 — undervalued vs growth | Dividend 8.0% — paid to hold | EPS growth 29.0% | Revenue growth 24.8% | Earnings accelerating (fwd PE 18.36 vs 25.91),1-2 years,2,3550.0,209.6,2.6,0.375,4,Top-3 RS in Diversified Financials,69,Base: model score 69/100 from Quality+Growth+Technical+Momentum | PEG 0.89 — growth clearly outpaces price (+8) | D/E 695.283 — elevated leverage risk (-8),ok,"[17 Jul 2026, scanx.trade] Cholamandalam board to consider NCD issuance on July 28",No,,,,2,3550.0
JIOFIN,246.26,69,STRONG BUY,5,30,18,12,0,18.9,66.7,164735.0,74.69,55.94,,208.2,170.2,16.286,21.0,54.6,273.35,234.84597792174083,258.57,295.51,11.0,4.6,11.0,5.0,20.0,4.6,2.4,default,Diversified Financials,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",Dividend 21.0% — paid to hold | EPS growth 170.2% — explosive | Revenue growth 208.2% — exceptional | Earnings accelerating (fwd PE 55.94 vs 74.69) | Above 50 DMA | RSI 55 — ideal 1Y entry zone,1-2 years,20,4925.2,228.28,3.6,0.375,4,Largest market cap in Diversified Financials,69,Base: model score 69/100 from Quality+Growth+Technical+Momentum | PEG 0.44 — growth clearly outpaces price (+8) | D/E 16.286 — elevated leverage risk (-8),ok,"[17 Jul 2026, IndiaIPO] Jio Financial Services shares rally 6% after stellar Q1 results. Buy, sell or hold the stock?",No,,,,20,4925.2
TATAINVEST,679.75,68,STRONG BUY,13,25,18,12,0,52.5,54.2,34190.0,78.85,,1.44,153.8,68.9,0.007,52.0,48.0,754.52,647.8078684425632,713.74,815.7,11.0,4.7,11.0,5.0,20.0,4.7,2.3,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.007 — fortress balance sheet | Dividend 52.0% — paid to hold | EPS growth 68.9% — explosive | Revenue growth 153.8% — exceptional | Above 50 DMA | RSI 48 — ideal 1Y entry zone,1-2 years,7,4758.25,223.59,3.5,0.375,0,,68,Base: model score 68/100 from Quality+Growth+Technical+Momentum,no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,7,4758.25
