Symbol,CMP,Score,Grade,Quality,Growth,Technical,Momentum,Sector_RS_Bonus,RS_Rank,Sector_Percentile,Market_Cap_Cr,PE,Fwd_PE,ROE_%,Rev_Growth_%,EPS_Growth_%,Debt_Eq,Div_Yield_%,RSI,Target,Stop_Loss,Target_Low,Target_High,Profit_%,Risk_%,Target_%,Target_%_Low,Target_%_High,SL_%,RR_Ratio,Sector_Bucket,Sector_Label,Valuation_Methods_Used,Valuation_Method_Detail,Real_Analyst_Target_Status,Real_Analyst_Target_Avg,Real_Analyst_Target_Low,Real_Analyst_Target_High,Real_Analyst_Num_Analysts,Target_Disclaimer,Reasons,Horizon,Shares_To_Buy,Deploy_₹,Max_Risk_₹,%_of_Portfolio,Regime_Multiplier_Applied,Sector_Leader_Bonus,Sector_Leader_Reasons,Confidence_%,Confidence_Factors,News_Status,News_Headlines,You_Hold,Held_Qty,Held_Avg,Unrealized_PnL_%,Additional_Shares_Room,Additional_Deploy_₹
PREMIERENE,1004.4,61,BUY,22,30,5,4,0,37.7,54.2,46763.0,30.78,21.32,42.33,37.6,64.7,86.005,15.0,29.6,1114.88,939.9880265995404,1054.62,1205.28,11.0,6.4,11.0,5.0,20.0,6.4,1.7,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 42.33% — excellent | PEG ~0.48 — undervalued vs growth | Dividend 15.0% — paid to hold | EPS growth 64.7% — explosive | Revenue growth 37.6% — exceptional | Earnings accelerating (fwd PE 21.32 vs 30.78),1-2 years,4,4017.6,257.65,3.0,0.375,0,,61,Base: model score 61/100 from Quality+Growth+Technical+Momentum | PEG 0.48 — growth clearly outpaces price (+8) | D/E 86.005 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,4,4017.6
LTF,306.1,60,BUY,12,19,13,12,0,92.0,66.7,77474.0,24.57,15.82,,29.3,28.2,393.442,88.0,33.0,339.77,288.0292100772352,321.41,367.32,11.0,5.9,11.0,5.0,20.0,5.9,1.9,default,Diversified Financials,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.87 — undervalued vs growth | Dividend 88.0% — paid to hold | EPS growth 28.2% | Revenue growth 29.3% | Earnings accelerating (fwd PE 15.82 vs 24.57) | Above 50 & 200 DMA — uptrend,1-2 years,16,4897.6,289.13,3.6,0.375,4,Top-3 RS in Diversified Financials,60,Base: model score 60/100 from Quality+Growth+Technical+Momentum | PEG 0.87 — growth clearly outpaces price (+8) | D/E 393.442 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,16,4897.6
CCL,1195.6,60,BUY,12,24,16,4,0,87.6,37.5,15981.0,36.95,25.17,,13.8,61.0,56.487,48.0,44.5,1327.12,1127.2693291749067,1255.38,1434.72,11.0,5.7,11.0,5.0,20.0,5.7,1.9,default,Consumer/Retail,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.61 — undervalued vs growth | Dividend 48.0% — paid to hold | EPS growth 61.0% — explosive | Revenue growth 13.8% | Earnings accelerating (fwd PE 25.17 vs 36.95) | Above 50 & 200 DMA — uptrend,1-2 years,4,4782.4,273.32,3.5,0.375,4,Top-3 RS in Consumer/Retail,60,Base: model score 60/100 from Quality+Growth+Technical+Momentum | PEG 0.61 — growth clearly outpaces price (+8) | D/E 56.487 — elevated leverage risk (-8),ok,"[27 Jul 2026, Moneycontrol.com] Stocks to Watch Today: Meesho, Zaggle Prepaid, CCL Products, Usha Martin, Godfrey Phillips, Tata...",No,,,,4,4782.4
MAHABANK,79.98,60,BUY,22,18,5,6,5,89.4,87.5,62094.0,8.19,,22.96,21.8,34.2,,2.74,36.8,95.98,75.2110172562784,95.98,95.98,20.0,6.0,20.0,20.0,20.0,6.0,3.3,psu_bank,Banking,"pe_anchored, peg_1.0_fair_value, roe_pb_implied",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0% | roe_pb_implied: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","ROE 22.96% — excellent | PEG ~0.24 — undervalued vs growth | Dividend 2.74% — paid to hold | EPS growth 34.2% — strong | Revenue growth 21.8% | RSI 37 — oversold, contrarian entry",1-2 years,63,5038.74,300.45,3.7,0.375,4,Highest ROE in Banking,68,Base: model score 60/100 from Quality+Growth+Technical+Momentum | PEG 0.24 — growth clearly outpaces price (+8),ok,"[24 Jul 2026, Business Standard] NSE adds Ather Energy, Bank of Maharashtra and Sagility to F&O segment",YES,50.0,65.19,22.7,120,9597.6
ECLERX,1968.9,60,BUY,22,19,8,8,-5,61.2,8.3,17961.0,26.24,19.84,29.0,23.3,26.0,15.012,3.0,73.0,2185.48,1786.2504912745235,2067.35,2362.68,11.0,9.3,11.0,5.0,20.0,9.3,1.2,default,Business/Support Services,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 29.0% — excellent | PEG ~1.01 — undervalued vs growth | Dividend 3.0% — paid to hold | EPS growth 26.0% | Revenue growth 23.3% | Earnings accelerating (fwd PE 19.84 vs 26.24),1-2 years,2,3937.8,365.3,2.9,0.375,8,"Largest market cap in Business/Support Services, Top-3 RS in Business/Support Services",52,Base: model score 60/100 from Quality+Growth+Technical+Momentum | D/E 15.012 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,2,3937.8
NIVABUPA,86.48,59,BUY,0,27,16,12,0,52.1,20.8,15855.0,122.49,31.87,10.65,26.8,90.2,9.883,,49.9,95.99,82.2159109655957,90.8,103.78,11.0,4.9,11.0,5.0,20.0,4.9,2.2,default,Insurance,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",EPS growth 90.2% — explosive | Revenue growth 26.8% | Earnings accelerating (fwd PE 31.87 vs 122.49) | Above 50 & 200 DMA — uptrend | RSI 50 — ideal 1Y entry zone | 6M return 12% — healthy,1-2 years,58,5015.84,247.32,3.7,0.375,4,Top-3 RS in Insurance,51,Base: model score 59/100 from Quality+Growth+Technical+Momentum | D/E 9.883 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,58,5015.84
HAL,4573.6,59,BUY,23,5,11,12,0,51.0,50.0,307101.0,33.73,27.44,23.98,1.8,5.5,0.027,43.0,68.1,5076.7,4392.700493940257,4802.28,5488.32,11.0,4.0,11.0,5.0,20.0,4.0,2.8,psu_other,Defense,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 23.98% — excellent | D/E 0.027 — fortress balance sheet | Dividend 43.0% — paid to hold | Earnings accelerating (fwd PE 27.44 vs 33.73) | Above 50 & 200 DMA — uptrend | RSI 68 — slightly elevated,1-2 years,0,0.0,0.0,0.0,0.375,8,"Largest market cap in Defense, Top-3 RS in Defense",49,Base: model score 59/100 from Quality+Growth+Technical+Momentum | PEG 6.13 — expensive vs growth rate (-10),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,0,0.0
CAPLIPOINT,2592.9,59,BUY,19,16,16,4,0,76.4,45.8,19863.0,31.07,24.43,19.94,19.0,19.4,0.127,31.0,47.7,2878.12,2406.200156439154,2722.54,3111.48,11.0,7.2,11.0,5.0,20.0,7.2,1.5,default,Chemicals & Paints,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 19.94% — good | D/E 0.127 — fortress balance sheet | Dividend 31.0% — paid to hold | EPS growth 19.4% | Revenue growth 19.0% | Earnings accelerating (fwd PE 24.43 vs 31.07),1-2 years,1,2592.9,186.7,1.9,0.375,4,Top-3 RS in Chemicals & Paints,59,Base: model score 59/100 from Quality+Growth+Technical+Momentum,no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,2592.9
KOTAKBANK,388.4,59,BUY,12,19,11,12,5,45.8,87.5,388111.0,18.91,15.27,,21.0,22.5,,17.0,60.3,464.14,372.3927325510235,462.2,466.08,19.5,4.1,19.5,19.0,20.0,4.1,4.8,private_bank,Banking,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +19.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.84 — undervalued vs growth | Dividend 17.0% — paid to hold | EPS growth 22.5% | Revenue growth 21.0% | Earnings accelerating (fwd PE 15.27 vs 18.91) | RSI 60 — ideal 1Y entry zone,1-2 years,13,5049.2,208.09,3.7,0.375,0,,67,Base: model score 59/100 from Quality+Growth+Technical+Momentum | PEG 0.84 — growth clearly outpaces price (+8),ok,"[20 Jul 2026, NDTV Profit] Bank Stocks Under Pressure: Axis, Kotak, HDFC Bank Shares Fall 5% After Q1 Results — Buy, Sell, Or Hold?",No,,,,13,5049.2
ITCHOTELS,162.33,59,BUY,17,20,11,11,0,6.7,54.2,33957.0,39.28,27.98,,14.8,35.9,0.634,62.0,28.4,180.19,152.09452606371073,170.45,194.8,11.0,6.3,11.0,5.0,20.0,6.3,1.7,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.634 — manageable | PEG ~1.09 — undervalued vs growth | Dividend 62.0% — paid to hold | EPS growth 35.9% — strong | Revenue growth 14.8% | Earnings accelerating (fwd PE 27.98 vs 39.28),1-2 years,31,5032.23,317.3,3.7,0.375,0,,59,Base: model score 59/100 from Quality+Growth+Technical+Momentum,no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,31,5032.23
IIFL,612.1,59,BUY,12,27,8,8,0,72.7,79.2,25309.0,12.12,7.7,,31.8,189.5,447.421,69.0,72.1,734.52,570.5947685240832,734.52,734.52,20.0,6.8,20.0,20.0,20.0,6.8,2.9,default,Capital Markets Infra,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.06 — undervalued vs growth | Dividend 69.0% — paid to hold | EPS growth 189.5% — explosive | Revenue growth 31.8% | Earnings accelerating (fwd PE 7.7 vs 12.12) | Above 50 & 200 DMA — uptrend,1-2 years,8,4896.8,332.04,3.6,0.375,4,Top-3 RS in Capital Markets Infra,59,Base: model score 59/100 from Quality+Growth+Technical+Momentum | PEG 0.06 — growth clearly outpaces price (+8) | D/E 447.421 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,8,4896.8
JUBLINGREA,730.05,59,BUY,12,23,16,8,0,39.9,54.2,11641.0,37.91,24.42,,25.3,40.6,25.328,69.0,54.5,810.36,678.2971165201989,766.55,876.06,11.0,7.1,11.0,5.0,20.0,7.1,1.5,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.93 — undervalued vs growth | Dividend 69.0% — paid to hold | EPS growth 40.6% — strong | Revenue growth 25.3% | Earnings accelerating (fwd PE 24.42 vs 37.91) | Above 50 & 200 DMA — uptrend,1-2 years,6,4380.3,310.52,3.2,0.375,0,,59,Base: model score 59/100 from Quality+Growth+Technical+Momentum | PEG 0.93 — growth clearly outpaces price (+8) | D/E 25.328 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,6,4380.3
SCHAEFFLER,4143.0,58,BUY,16,9,16,12,5,53.1,83.3,65019.0,51.73,41.33,21.64,17.3,13.0,0.783,84.0,61.2,4598.73,3929.432875370979,4350.15,4971.6,11.0,5.2,11.0,5.0,20.0,5.2,2.1,default,Auto & Ancillaries,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 21.64% — good | D/E 0.783 — manageable | Dividend 84.0% — paid to hold | Revenue growth 17.3% | Earnings accelerating (fwd PE 41.33 vs 51.73) | Above 50 & 200 DMA — uptrend,1-2 years,1,4143.0,213.57,3.0,0.375,0,,58,Base: model score 58/100 from Quality+Growth+Technical+Momentum,ok,"[22 Jul 2026, scanx.trade] Schaeffler India Q1 profit rises 13.6% on revenue growth",No,,,,1,4143.0
SOBHA,1358.0,58,BUY,5,30,11,12,0,24.7,25.0,14585.0,63.4,18.87,,50.0,274.0,24.62,45.0,28.6,1507.38,1268.219358196335,1425.9,1629.6,11.0,6.6,11.0,5.0,20.0,6.6,1.7,default,Real Estate,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.","Dividend 45.0% — paid to hold | EPS growth 274.0% — explosive | Revenue growth 50.0% — exceptional | Earnings accelerating (fwd PE 18.87 vs 63.4) | RSI 29 — oversold, contrarian entry | Near 52W low (39%) — good entry",1-2 years,3,4074.0,269.34,3.0,0.375,0,,58,Base: model score 58/100 from Quality+Growth+Technical+Momentum | PEG 0.23 — growth clearly outpaces price (+8) | D/E 24.62 — elevated leverage risk (-8),ok,"[21 Jul 2026, Moneycontrol.com] Stocks to Watch Today: SBI Funds Management, Sobha, Rallis India, Bluestone Jewellery, Wanbury, Redington,...",No,,,,3,4074.0
INDUSINDBK,1010.0,58,BUY,5,20,16,12,5,79.0,87.5,78872.0,58.48,12.88,,1.0,71.7,,15.0,48.6,1121.1,960.8423827350894,1060.5,1212.0,11.0,4.9,11.0,5.0,20.0,4.9,2.2,private_bank,Banking,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",Dividend 15.0% — paid to hold | EPS growth 71.7% — explosive | Earnings accelerating (fwd PE 12.88 vs 58.48) | Above 50 & 200 DMA — uptrend | RSI 49 — ideal 1Y entry zone | 6M return 13% — healthy,1-2 years,4,4040.0,196.63,3.0,0.375,0,,66,Base: model score 58/100 from Quality+Growth+Technical+Momentum | PEG 0.82 — growth clearly outpaces price (+8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,4,4040.0
POONAWALLA,477.35,58,BUY,0,30,16,12,0,66.6,54.2,42173.0,50.43,19.61,,100.3,337.0,468.058,,50.2,529.86,448.268762001605,501.22,572.82,11.0,6.1,11.0,5.0,20.0,6.1,1.8,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",EPS growth 337.0% — explosive | Revenue growth 100.3% — exceptional | Earnings accelerating (fwd PE 19.61 vs 50.43) | Above 50 & 200 DMA — uptrend | RSI 50 — ideal 1Y entry zone | 6M return 19% — healthy,1-2 years,10,4773.5,290.81,3.5,0.375,0,,58,Base: model score 58/100 from Quality+Growth+Technical+Momentum | PEG 0.15 — growth clearly outpaces price (+8) | D/E 468.058 — elevated leverage risk (-8),ok,"[19 Jul 2026, Moneycontrol.com] Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",No,,,,10,4773.5
SRF,2631.2,57,BUY,12,27,6,12,0,29.1,45.8,78364.0,36.24,29.24,,31.8,75.6,36.195,38.0,41.0,2920.63,2477.7896322496244,2762.76,3157.44,11.0,5.8,11.0,5.0,20.0,5.8,1.9,default,Chemicals & Paints,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.48 — undervalued vs growth | Dividend 38.0% — paid to hold | EPS growth 75.6% — explosive | Revenue growth 31.8% | Earnings accelerating (fwd PE 29.24 vs 36.24) | Near 52W low (33%) — good entry,1-2 years,1,2631.2,153.41,1.9,0.375,0,,57,Base: model score 57/100 from Quality+Growth+Technical+Momentum | PEG 0.48 — growth clearly outpaces price (+8) | D/E 36.195 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,2631.2
ETERNAL,308.6,57,BUY,0,30,11,8,0,49.5,62.5,287024.0,663.4,81.62,,182.0,233.3,14.826,,63.5,342.55,290.00158500413664,324.03,370.32,11.0,6.0,11.0,5.0,20.0,6.0,1.8,consumer_retail,New-Age Tech,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",EPS growth 233.3% — explosive | Revenue growth 182.0% — exceptional | Earnings accelerating (fwd PE 81.62 vs 663.4) | Above 50 & 200 DMA — uptrend | RSI 63 — slightly elevated | 6M return 12% — healthy,1-2 years,16,4937.6,297.57,3.6,0.375,8,"Largest market cap in New-Age Tech, Top-3 RS in New-Age Tech",49,Base: model score 57/100 from Quality+Growth+Technical+Momentum | D/E 14.826 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,16,4937.6
ADANIENSOL,1662.6,57,BUY,0,30,16,7,0,98.9,58.3,200350.0,68.02,46.13,,42.4,124.1,194.5,,51.5,1845.49,1553.5766934546423,1745.73,1995.12,11.0,6.6,11.0,5.0,20.0,6.6,1.7,default,Renewables/Power,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",EPS growth 124.1% — explosive | Revenue growth 42.4% — exceptional | Earnings accelerating (fwd PE 46.13 vs 68.02) | Above 50 & 200 DMA — uptrend | RSI 52 — ideal 1Y entry zone | 1M return 7% — stable base,1-2 years,3,4987.8,327.07,3.7,0.375,4,Top-3 RS in Renewables/Power,57,Base: model score 57/100 from Quality+Growth+Technical+Momentum | PEG 0.55 — growth clearly outpaces price (+8) | D/E 194.5 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,3,4987.8
ATUL,6851.5,57,BUY,12,22,11,12,0,52.7,54.2,20016.0,25.18,22.15,,25.0,92.0,2.907,45.0,71.9,7605.17,6457.942463269012,7194.08,8221.8,11.0,5.7,11.0,5.0,20.0,5.7,1.9,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.27 — undervalued vs growth | Dividend 45.0% — paid to hold | EPS growth 92.0% — explosive | Revenue growth 25.0% | Above 50 & 200 DMA — uptrend | RSI 72 — slightly elevated,1-2 years,0,0.0,0.0,0.0,0.375,0,,57,Base: model score 57/100 from Quality+Growth+Technical+Momentum | PEG 0.27 — growth clearly outpaces price (+8) | D/E 2.907 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,0,0.0
ARE&M,889.95,57,BUY,7,19,16,15,0,38.6,54.2,16159.0,17.61,15.3,11.57,15.5,94.5,5.015,1.23,51.9,1067.94,842.368630792229,1067.94,1067.94,20.0,5.3,20.0,20.0,20.0,5.3,3.8,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +20.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",PEG ~0.19 — undervalued vs growth | EPS growth 94.5% — explosive | Revenue growth 15.5% | Above 50 & 200 DMA — uptrend | RSI 52 — ideal 1Y entry zone | 6M return 8% — healthy,1-2 years,5,4449.75,237.91,3.3,0.375,0,,57,Base: model score 57/100 from Quality+Growth+Technical+Momentum | PEG 0.19 — growth clearly outpaces price (+8) | D/E 5.015 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,5,4449.75
BIKAJI,652.65,57,BUY,11,16,18,12,0,25.2,37.5,16094.0,62.5,43.46,15.96,18.5,26.3,17.531,20.0,58.3,724.44,622.8102156651549,685.28,783.18,11.0,4.6,11.0,5.0,20.0,4.6,2.4,default,Consumer/Retail,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",ROE 15.96% — good | Dividend 20.0% — paid to hold | EPS growth 26.3% | Revenue growth 18.5% | Earnings accelerating (fwd PE 43.46 vs 62.5) | Above 50 DMA,1-2 years,7,4568.55,208.88,3.4,0.375,0,,49,Base: model score 57/100 from Quality+Growth+Technical+Momentum | D/E 17.531 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,7,4568.55
TVSMOTOR,4168.6,57,BUY,5,27,8,8,5,91.1,83.3,193683.0,55.25,35.7,,34.3,67.1,306.09,30.0,79.2,4627.15,3972.622410359463,4377.03,5002.32,11.0,4.7,11.0,5.0,20.0,4.7,2.3,default,Auto & Ancillaries,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",Dividend 30.0% — paid to hold | EPS growth 67.1% — explosive | Revenue growth 34.3% | Earnings accelerating (fwd PE 35.7 vs 55.25) | Above 50 & 200 DMA — uptrend | 6M return 14% — healthy,1-2 years,1,4168.6,195.98,3.1,0.375,4,Top-3 RS in Auto & Ancillaries,57,Base: model score 57/100 from Quality+Growth+Technical+Momentum | PEG 0.82 — growth clearly outpaces price (+8) | D/E 306.09 — elevated leverage risk (-8),no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,1,4168.6
ACE,1041.0,56,BUY,17,19,16,4,0,40.8,54.2,12513.0,28.61,22.32,,20.5,22.3,0.393,19.0,59.6,1155.51,968.0656883743338,1093.05,1249.2,11.0,7.0,11.0,5.0,20.0,7.0,1.6,default,Diversified/Other,"pe_anchored, peg_1.0_fair_value",pe_anchored: +20.0% | peg_1.0_fair_value: +2.0%,fetch_failed,,,,,"Target/Target_Low/Target_High are MODEL estimates from 3 internal valuation methods (see Valuation_Methods_Used), NOT real analyst consensus. Check Real_Analyst_Target_* columns for actual street data if ANALYST_API_CONFIG is set, or verify independently otherwise.",D/E 0.393 — manageable | PEG ~1.28 — undervalued vs growth | Dividend 19.0% — paid to hold | EPS growth 22.3% | Revenue growth 20.5% | Earnings accelerating (fwd PE 22.32 vs 28.61),1-2 years,4,4164.0,291.74,3.1,0.375,0,,56,Base: model score 56/100 from Quality+Growth+Technical+Momentum,no_recent_news,No recent news found (No high-quality news within 14 days) — quant justification only,No,,,,4,4164.0
