Month,Total_Return_%,Avg_Return_Per_Trade_%,N_Trades
2025-01,-14.81,-2.962,5
2025-02,-8.529999999999998,-2.1324999999999994,4
2025-03,47.620000000000005,9.524000000000001,5
2025-04,21.6,10.8,2
2025-05,52.2,13.05,4
2025-06,20.71,3.4516666666666667,6
2025-07,-24.93,-6.2325,4
2025-08,77.61,12.935,6
2025-09,33.41,8.3525,4
2025-10,88.2,14.700000000000001,6
2025-11,56.16,18.72,3
2025-12,-15.73,-5.243333333333333,3
2026-01,59.5,9.916666666666666,6
